timestamp,sensor_id,temperature_C,humidity_pct,pressure_hPa,status
2026-08-01 00:00,SN-01,22.5,45.0,1013.2,ok
2026-08-01 00:10,SN-01,22.7,44.8,1013.1,ok
2026-08-01 00:20,SN-01,9999,45.1,1013.0,ok
2026-08-01 00:30,SN-01,23.1,44.9,1013.2,ok
2026-08-01 00:40,SN-01,23.0,,1013.1,ok
2026-08-01 00:50,SN-01,22.9,45.2,1013.3,ok
2026-08-01 00:00,SN-02,21.8,50.1,1012.9,ok
2026-08-01 00:10,SN-02,21.9,50.0,1012.8,ok
2026-08-01 00:20,SN-02,22.0,49.9,1012.9,ok
2026-08-01 00:30,SN-02,-40.0,50.2,1012.8,ok
2026-08-01 00:40,SN-02,22.1,50.1,1012.9,ok
2026-08-01 00:50,SN-02,22.2,50.0,1013.0,ok
2026-08-01 00:00,SN-01,22.5,45.0,1013.2,ok
2026-08-01 01:00,SN-01,23.3,45.5,1013.4,ok
2026-08-01 01:10,SN-01,23.4,45.6,1013.4,error
2026-08-01 01:20,SN-01,23.5,45.7,1013.5,ok
2026-08-01 01:30,SN-03,30.1,41.0,1010.0,ok
2026-08-01 01:40,SN-03,30.0,41.1,1010.1,ok
2026-08-01 01:50,SN-03,29.9,41.2,1010.0,ok
2026-08-01 02:00,SN-03,29.8,41.3,1009.9,ok
2026-08-01 02:10,SN-03,29.8,41.2,1010.0,ok
2026-08-01 02:20,SN-03,29.7,41.1,1010.1,ok
2026-08-01 02:30,SN-03,29.6,41.0,1010.0,ok
2026-08-01 02:40,SN-03,29.5,41.2,1009.8,ok
2026-08-01 02:50,SN-03,29.4,41.3,1009.9,ok
2026-08-01 03:00,SN-01,23.6,45.8,1013.5,ok
2026-08-01 03:10,SN-01,23.7,45.9,1013.6,ok
2026-08-01 03:20,SN-01,23.8,46.0,1013.6,ok
2026-08-01 03:30,SN-01,23.9,46.1,1013.7,ok
2026-08-01 03:40,SN-01,24.0,46.2,1013.8,ok
2026-08-01 03:50,SN-01,24.1,46.3,1013.8,ok
2026-08-01 04:00,SN-02,22.3,50.2,1013.1,ok
2026-08-01 04:10,SN-02,22.4,50.3,1013.2,ok
2026-08-01 04:20,SN-02,22.5,50.4,1013.2,ok
2026-08-01 04:30,SN-02,22.6,50.5,1013.3,ok
2026-08-01 04:40,SN-02,22.7,50.6,1013.3,ok
2026-08-01 04:50,SN-02,22.8,50.7,1013.4,ok
2026-08-01 05:00,SN-03,29.3,41.4,1009.9,ok
2026-08-01 05:10,SN-03,29.2,41.5,1009.9,ok
2026-08-01 05:20,SN-03,29.1,41.6,1009.8,ok
